晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
雁高飞 (神鬼天时) , LH_shield_052, RH_pike_053,
靖平九州·凌霜笛 (天人若语) (天人若语·一) , D011074, D011074,
激水翦风·佐臣剑 (一线轻舟) (一线轻舟·一) , RH_sword_218, RH_sword_218,
鲸波荡世·贯虹轻剑 (回锋问霄) (回锋问霄·一) , RH_sword_325, RH_sword_325,
寻踪觅宝·侍君重剑 (万顷春水) , D007302b, D007302b,
万古情 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
霜雪明 (昊芒) , RH_spear_109, RH_spear_109,
赤魂炎狼·战锋 , RH_spear_141d, RH_spear_141d,
杜若重剑 (死生一试) , D007346, D007346,
醉解敌颅·霜行刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
浮名光景 (芙蓉动) , RH_sword_273, RH_sword_273,
铜头柳木枪 (断执着) , RH_spear_003, RH_spear_003,
文绮弩 (雪中闻) , RH_bow_037b, RH_bow_037b,
壮志凌云·无咎棒 (宝镜难寻) , Lh_stick_008, RH_flagon_027,
炀火月牙戟 (琼娇) (琼娇·一) , RH_spear_068b, RH_spear_068b,
辕角棒 (壶中仙) , Lh_stick_048, RH_flagon_084,
月轨 (幽玄月魄) , RH_knife_094, RH_knife_094,
战无不胜·穆兰双剑 (思量) , D007142, D007142,
击玉壶 (遗忘) , RH_wand_029, RH_wand_029,
映水 (风归水) , LH_piano_032, RH_blade_018,
笑月眉 (冷饮) , D007205, D007205,
雾失笛 (吹愁) , D011051, D011051,
芳叶轻剑 (雨师霜刃) , RH_sword_270, RH_sword_270,
流光岑重剑 (南飞) , D007190, D007190,
龙威·奈绪盾刀 (孤屿) , LH_shield_006, RH_pike_006,
剑破九州·旧山琴 (书味满堂) , LH_piano_024, RH_blade_004,
镜虹 (颤缺) , Lh_stick_031, RH_flagon_067,
长悲笔 (风味) , RH_brush_043, RH_brush_043,
四海归一·雪华双剑 (风雨佛心) (风雨佛心·一) , RH_sword_181, RH_sword_181,
寻踪觅宝·络秋金啼 (功成) , D011060b, D011060b,
伤春暮 (休题) , RH_brush_012, RH_brush_012,
极光流影·追星 , RH_bow_092, RH_bow_092,
孤萤 (云燕成双) , San_002, San_002,
浪淘 (风味) , RH_brush_043, RH_brush_043,
纤手逸烟 (香尘春溪) , RH_sword_243, RH_sword_243,
月扇弯刀 (洞箍) , RH_knife_037, RH_knife_037,
凝烈双刀 (飒枫) , RH_knife_081, RH_knife_081,
壬啸弩 (夙夜命星) , RH_bow_060, RH_bow_060,
得生棍 (法净正觉) , RH_wand_136, RH_wand_136,
青木笔 (倾国) , RH_brush_004, RH_brush_004,
寻踪觅宝·炎武 (化龙川) , LH_BDdagger_015, RH_BDknife_015,
日往烟萝 (相思不苦) (相思不苦·一) (相思不苦·四) , RH_sword_197b, RH_sword_197b,
博文约礼·朝霜双刀 (道名逝) , RH_knife_006, RH_knife_006,
策马扬戈·碧澜伞 (刺锋) , San_028, San_028,
冷松石 (闻人泣) , LH_piano_026, RH_blade_006,
临轩 (兴亡散序) , LH_piano_068, RH_blade_001,
鲸波荡世·忘年剑 (孤清化雪) (孤清化雪·一) , RH_sword_327, RH_sword_327,
樛木累 (欲说千年) , Lh_stick_007, RH_flagon_011,
清波汇海·响光笛 (天人若语) (天人若语·一) , D011074, D011074,
枉古 (蘸蓝) , RH_brush_138, RH_brush_138,
桀骜不驯·弃缘剑 (紫霆) (紫霆·一) , RH_sword_289, RH_sword_289,
凛惧 (雪堂迁) , RH_knife_010, RH_knife_010,
气吞山河·枭恶枪 (追回) , RH_spear_058b, RH_spear_058b,
须弥柱 (不问如来) , D010113, D010113,
冰牙 (芳草姑苏) , RH_bow_009, RH_bow_009,
九州纵横·蓬远琴 (风入松) (风入松·一) , LH_piano_073, RH_blade_061,
百噬笛 (僧渡) , D011003, D011003,
飞芒 (老英雄) , RH_knife_005, RH_knife_005,
湛空 (云液杯干) , RH_knife_012, RH_knife_012,
巳蛛笛 (今朝相伴) , D011001, D011001,
润雅振扬 (绝思人) (绝思人·一) , RH_bow_045, RH_bow_045,
刻心朱苛 (竟天) , D007024, D007024,
碎瑶刀 (悲白) , LH_BDdagger_007, RH_BDknife_007,
入塞 (破寰) , LH_shield_076, RH_pike_076,
侠行寒沙·乘冰双剑 (冷露语) , RH_sword_288, RH_sword_288,
思有神 (荆门忆) , LH_shield_028, RH_pike_028,
问佛缘 (不朽顽丑) (不朽顽丑·一) (不朽顽丑·二) , RH_wand_103, RH_wand_103,
斑离 (筝不归) , LH_shield_015, RH_pike_015,
梧宫秋 (刺锋) , San_028, San_028,
敛意·无相 , RH_wand_151c, RH_wand_151c, , S_少林橙武_c01_加强HD
深溪双剑 (落日尘轻) (落日尘轻·一) (落日尘轻·二) (落日尘轻·三) , RH_sword_205, RH_sword_205,
测试装备 , LH_shield_019, RH_pike_019,
乙清剑 (晨星中天) , RH_sword_109, RH_sword_109,
神丘 (刺锋) , San_028, San_028,
气荡沧溟·隐息弩 (幽冥忘川) (幽冥忘川·一) , RH_bow_086b, RH_bow_086b,
测试装备 , D011062, D011062,
白满川 (若言有声) , LH_piano_002, RH_blade_002,
紫燕飞 (蚕鱼人烟) (蚕鱼人烟·一) (蚕鱼人烟·四) , RH_bow_049b, RH_bow_049b,
甲阵弩 (月坠西) , RH_bow_030b, RH_bow_030b,
文韬武略·河清双剑 (广寒金风) , RH_sword_261, RH_sword_261,
持福 (枯泥寺) , RH_wand_138, RH_wand_138,
北寒剑 (离缺) , RH_sword_006, RH_sword_006,
龙毁战戟 (霖雨) (霖雨·一) (霖雨·二) (霖雨·三) , RH_spear_083, RH_spear_083,
皆杀 (几悲欢) , RH_bow_005, RH_bow_005,
良素刀 (扶桑涯雪) (扶桑涯雪·一) , RH_knife_042b, RH_knife_042b,
流涂长斧 (逆度) , D010127, D010127,
古酿棒 (风吹新荷) , Lh_stick_002, RH_flagon_017,
耀炎弯刀 (百川吞海) , RH_knife_001, RH_knife_001,
尘沙傍蛟 , RH_sword_216c, RH_sword_216c, , C_藏剑90级小橙武轻剑01
剑试天下·黜浮笔 (吐月) , RH_brush_082, RH_brush_082,
寻踪觅宝·结绮 (芙蓉动) , RH_sword_273, RH_sword_273,
鹤不群 (斫良木) , LH_piano_004, RH_blade_004,
敬庄 (若言有声) , LH_piano_002, RH_blade_002,
玉笙双剑 (卿与) , RH_sword_307, RH_sword_307,
千橘 (颤缺) , Lh_stick_031, RH_flagon_067,
寻踪觅宝·含龙 (对君欢) , RH_sword_225, RH_sword_225,
点钢笛 (奈何累) , D011004, D011004,
煞·太初社稷 , LH_shield_009, RH_pike_009, C_苍云煞版橙武盾_02, C_苍云煞版橙武刀_02
孔雀羽 , RH_bow_013, RH_bow_013, , bow_013蓝
大厨调味匣·火候 (有知音耶) , LH_piano_053, RH_blade_053,
名动天下·飞檐笛 (卷烟涛) (卷烟涛·一) , D011073, D011073,
千军破 (青羽护) , RH_spear_127, RH_spear_127,
枕戈待战·隔霄弩 (羽殇) , RH_bow_084, RH_bow_084,
初樱 (暮云) , RH_Sword_042, RH_Sword_042,
诛逆枪 (恒果) , D010174, D010174,
靛水双剑 (几度幻哉) , RH_sword_170b, RH_sword_170b,
斜阳无声 (凌华香雪) , RH_sword_330, RH_sword_330,
狼毫·惊蛰 (沧浪) , RH_brush_024, RH_brush_024,
剑试天下·刺蛟击 (几悲欢) , RH_bow_005, RH_bow_005,
旋芒，锟铻古剑 (黄尘白骨) , RH_Sword_089c, RH_Sword_089c,
哲圣义 (沧海倒江潮) , RH_brush_125, RH_brush_125,
相思锦年·萧梧刀 (萧飒瑟飓) , LH_BDdagger_006, RH_BDknife_006,
暖春 (泰岳峰) , D007375, D007375,
双月 (复仇者) , RH_sword_003, RH_sword_003,
癸霜刀 (红花夜) , LH_BDdagger_030, RH_BDknife_030,
傲血贪狼枪 (相伴) , D010139, D010139,
寻踪觅宝·弃轩笔 (不断苔生) , RH_brush_101b, RH_brush_101b,
丙炎弯刀 (无据天明) , RH_knife_019, RH_knife_019,
剑挽狂澜·啸寒 (风雨终) , D007386, D007386,
霜远红 (云燕成双) , San_002, San_002,
碧落青冥·淳苏之击 (名利客) , RH_bow_020, RH_bow_020,
辗转反侧 (笑人间) (笑人间·一) (笑人间·二) (笑人间·三) , RH_sword_207, RH_sword_207,
朱明刀 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
辕角鸣 (楚流) , LH_shield_077, RH_pike_077,
三势向敌 (池浅速谋) , LH_shield_055, RH_pike_056,
火花·霜情 , RH_knife_015, RH_knife_015,
惊雷 (忠贤) , RH_brush_016, RH_brush_016,
狂沙重戟 (不说不知) , RH_spear_035, RH_spear_035,
寻踪觅宝·萤影 (问棋语) , RH_brush_119, RH_brush_119,
迷鸿弩 (紫气离魂) , RH_bow_070, RH_bow_070,
寒萧双刀 (飒枫) , RH_knife_081, RH_knife_081,
鸣玉弩 (流仙过) , RH_bow_039b, RH_bow_039b,
走马西天 (杯雪雁归) , LH_shield_084, RH_pike_084,
西溟若英剑 (如洗) , RH_sword_008, RH_sword_008,
尺素 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
苍术·百揆轻剑 (苍然伟物) , RH_sword_105, RH_sword_105,
胧月 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
神龙出海剑 (无尘) , D007047, D007047,
不鸣 (风月斋) , RH_knife_009, RH_knife_009,
藏拙巧 (限光) , RH_sword_286, RH_sword_286,
卷珠帘 (落魄无依) (落魄无依·一) (落魄无依·二) (落魄无依·三) , D011072, D011072,
王不留行 (南园) , RH_brush_019, RH_brush_019,
抱素 (有穷无极·二) (有穷无极·三) (有穷无极·五) , RH_sword_196, RH_sword_196,
愁灯 (刺疆) , RH_knife_075, RH_knife_075,
夜有霜 (容若雕空) , RH_knife_073, RH_knife_073,
恶蛟双钩 (猿鹤) , RH_sword_036, RH_sword_036,
亢宗重剑 (篁辕) , D007393, D007393,
洞玄九天·妄 , RH_sword_214c, RH_sword_214c, , C_纯阳90小橙武01
惟清·麟趾弩 (莫留连·一) (莫留连) , RH_bow_050, RH_bow_050,
威震天下·积香重剑 (清秋风冷) , D007333, D007333,
相思锦年·逐暮剑 (太上度人) , RH_sword_239, RH_sword_239,
醉解敌颅·见妄剑 (孤清化雪) (孤清化雪·一) , RH_sword_327, RH_sword_327,
誉满天下·凌风轻剑 (飞天镜剑) , RH_sword_202, RH_sword_202,
七秀内功测试双兵 (掩太) , D007171, D007171,
棠庭 (定山河) , LH_BDdagger_002, RH_BDknife_002,
慎刑 (路穷) (路穷·一) , D011012, D011012,
吹恨 (风归水) , LH_piano_032, RH_blade_018,
奎山 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
九绝魔剑 (幻弦) , Rh_sword_013, Rh_sword_013,
开叉的长峰笔 (倾国) , RH_brush_004, RH_brush_004,
角幽笛 (荒骨吹) , D011096, D011096,
碎月枪 (那行者) , RH_spear_006, RH_spear_006,
贯微轻剑 (不过瞬间) (不过瞬间·一) , RH_sword_198, RH_sword_198,
覆雨翻云·黄鹄别琴 (非魔柔音) (非魔柔音·一) , LH_piano_061, RH_blade_060,
濛尘 (青雷锁) , RH_sword_132, RH_sword_132,
光腾弯刀 (洞箍) , RH_knife_037, RH_knife_037,
志吟双刀 (扶桑涯雪) (扶桑涯雪·一) , RH_knife_042b, RH_knife_042b,
义薄云天·醉歌刀 (水汽冰镜) , LH_shield_004, RH_pike_004,
沧海狂澜·惑梦笛 (蝶化蕊) , D011115, D011115,
杉木长枪 (无视) , RH_spear_001, RH_spear_001,
法界宝焰 (不朽顽丑) (不朽顽丑·一) (不朽顽丑·二) , RH_wand_103, RH_wand_103,
惟清·麟趾棒 (怕入丹图) (怕入丹图·一) , Lh_stick_004, RH_flagon_041,
渊镜 (今生苦) , RH_wand_122, RH_wand_122,
妙法莲华·缘 , RH_wand_117c, RH_wand_117c, , S_少林90级小橙武棍01
天地困人·牧野 (庚天) , D011106, D011106,
煞·公输 , San_015, San_015, , P_蓬莱95级大橙武伞关
角离笛 (荒骨吹) , D011096, D011096,
新月留影 , LH_BDdagger_027b, RH_BDknife_027b,
月出寒雪 (筝不归) , LH_shield_015, RH_pike_015,
乱我心曲 (落魄无依) (落魄无依·一) (落魄无依·二) (落魄无依·三) , D011072, D011072,
荒动 (不知吾身) , RH_brush_101, RH_brush_101,
一成春困 (礼义) , RH_brush_041, RH_brush_041,
破愆锁 (白青雷) , RH_wand_051, RH_wand_051,
迫云剑 (愚公) , D007185, D007185,
万古尘 (一樽死生) (一樽死生·一) (一樽死生·二) , RH_brush_102, RH_brush_102,
道非道 (望荆) , RH_sword_029, RH_sword_029,
怨月 (璃灭) , LH_BDdagger_038, RH_BDknife_038,
测试装备 (云遮眉) , RH_bow_001, RH_bow_001,
春树弩 (梦难成) , RH_bow_030, RH_bow_030,
珑璁刃 (朝夕圣魔) , RH_knife_060, RH_knife_060,
清光腾黄 (玉千杆) , RH_bow_007, RH_bow_007,
别怀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
寻踪觅宝·万灵 (洛城飞声) , D011078, D011078,
雾翔 (今朝相伴) , D011001, D011001,
朔骨 (蚕鱼人烟) (蚕鱼人烟·一) (蚕鱼人烟·四) , RH_bow_049b, RH_bow_049b,
繁霜降 (兰薰) , RH_brush_146, RH_brush_146,
万花内功威望武器 (卷帘) , RH_brush_064b, RH_brush_064b,
常幽棒 (中宵携壶) , Lh_stick_016, RH_flagon_052,
鸿沙印 (上林散花) , RH_wand_101b, RH_wand_101b,
天弦画柱·傲 , RH_spear_104d, RH_spear_104d,
寻踪觅宝·踏澜 (泰岳峰) , D007375, D007375,
初见日月·再相逢 (樱尾) , Lh_stick_032, RH_flagon_068,
傲视天下·雪藏弓 (频雾浮) , RH_bow_046, RH_bow_046,
血战黄泉·道心锁 (今老白首) (今老白首·一) , RH_sword_182, RH_sword_182,
山光西落 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
切麟 (绝塞银蛇·二) (绝塞银蛇·三) (绝塞银蛇·五) , RH_knife_046, RH_knife_046,
因幡 (隐谢公) , LH_shield_008, RH_pike_008,
乌曜 (朔漠独归) , RH_knife_093, RH_knife_093,
寻踪觅宝·烟露 (今时日文) , RH_brush_135, RH_brush_135,
成锋 (情足) , RH_sword_016, RH_sword_016,
煞·吞虹 , RH_spear_116, RH_spear_116, , T_天策95橙武防御红黑版_01HD
彭蠡双刀 (绿寂调) , RH_knife_037b, RH_knife_037b,
鲸波荡世·赤胆棍 (淀痕沉乌) (淀痕沉乌·一) , Lh_stick_045, RH_flagon_081,
晓花重剑 (毁信) , D007292, D007292,
枕戈待战·雪晴弩 (羽殇) , RH_bow_084, RH_bow_084,
素语淡言 (英雄事) , RH_sword_119, RH_sword_119,
测试装备 (待秋风) , LH_shield_005, RH_pike_005,
无量大乘 (法净正觉) , RH_wand_136, RH_wand_136,
无欲无求 (花心) , RH_sword_011, RH_sword_011,
煞·执手 , RH_knife_066, RH_knife_066b, m_明教95防御蓝红黑版HD, m_明教95防御黄红黑版HD
巨龙吐焰 (贫楼星眸) , Lh_stick_004, RH_flagon_030,
雷夜风牙剑 (先圣) , D007301b, D007301b,
入洞天 (鲲篷) , RH_sword_305, RH_sword_305,
夜雨听泉 (弦歌别绪) , LH_piano_087, RH_blade_087,
瑶草春 (锁闻) , D011097, D011097,
力挽狂澜·喻勉笔 (万古) , RH_brush_056e, RH_brush_056e,
昼野·花间泪 (雪霜落) , LH_piano_028, RH_blade_014,
亥雾盾刀 (载地) , LH_shield_002, RH_pike_002,
漱雪刀 (云燕成双) , San_002, San_002,
解语 , RH_sword_144c, RH_sword_144c,
威破赤霄·凝心笛 (天人残蚀) (天人残蚀·一) , D011076, D011076,
炼金银坎 (送春日) , RH_spear_088b, RH_spear_088b,
金戈涉川·敛仞 (辩歌) , RH_sword_287, RH_sword_287,
酉灵轻剑 (别情) , RH_sword_037, RH_sword_037,
孤江望 (万霞归烟) , D007403, D007403,
桑林棍 (踏湖歌) , RH_wand_082, RH_wand_082,
落日枪 (时光) , RH_spear_011, RH_spear_011,
岚曦 (暮云) , RH_Sword_042, RH_Sword_042,
清管弩 (危锋绝鄙) , RH_bow_040, RH_bow_040,
庚寂盾刀 (孤屿) , LH_shield_006, RH_pike_006,
冠世风流·古壁重剑 (物外之身) (物外之身·一) , D007344, D007344,
梦寐 (唱彻金河) , D011094, D011094,
无量灯明 (开国戒持) (开国戒持·一) (开国戒持·四) , RH_wand_111b, RH_wand_111b,
帝子琴 (一生任性) , LH_piano_022, RH_blade_003,
宿沙笔·淡 (山中云深) , RH_brush_121, RH_brush_121,
莽伏 (百川吞海) , RH_knife_001, RH_knife_001,
倦游京 (此夜相识) (此夜相识·一) (此夜相识·四) , RH_sword_195b, RH_sword_195b,
古德僧棍 (金宵) , RH_wand_012, RH_wand_012,
攻无不克·星野棒 (镜里花开) , Lh_stick_008, RH_flagon_019,
威震诸侯·觉梦双剑 (蓝羽青林) (蓝羽青林·一) , RH_sword_211, RH_sword_211,
一曲千峰 (幽树夜花) , RH_sword_343, RH_sword_343,
冠世风流·北秋刀 (蛟萤光轮) (蛟萤光轮·一) , RH_knife_065, RH_knife_065,
倾阳 (贪古调) , LH_piano_001, RH_blade_001,
策马扬戈·灼世双刀 (金青明王) (金青明王·一) , RH_knife_053, RH_knife_053,
蚀玉 , RH_sword_329d, RH_sword_329d,
斟北斗 (云燕成双) , San_002, San_002,
迟钝的鸳鸯刀 (零落) , RH_Sword_010, RH_Sword_010,
枕戈待战·空桑琴 (清夜吟) , LH_piano_075, RH_blade_063,
朱明刀 (刺锋) , San_028, San_028,
烈皑北风 (盟誓·二) (盟誓) (盟誓·一) , D007261, D007261,
山朝古剑 (莫愁风波) , RH_sword_119, RH_sword_119,
翠汀双剑 (蓝羽青林) (蓝羽青林·一) , RH_sword_211, RH_sword_211,
破风刀 (道名逝) , RH_knife_006, RH_knife_006,
神威 , RH_spear_147, RH_spear_147, , T_天策100大橙武防御01
四海归一·听玉琴 (千鹤响) , LH_piano_017, RH_blade_017,
沥露照月 (不知应刺) , RH_bow_075, RH_bow_075,
依心剑 (潘安) , RH_sword_003, RH_sword_003,
剑鸣朔漠·飞羽枪 (青羽护) , RH_spear_127, RH_spear_127,
移忧双剑 (饮散) , RH_Sword_014, RH_Sword_014,
拭剑江山·乱雪琴 (雷潭) , LH_piano_072, RH_blade_001,
名动天下·聚问剑 (幻望仙歌) (幻望仙歌·一) , RH_sword_209, RH_sword_209,
淳风 (梦中渔人) , RH_sword_150, RH_sword_150,
阿里曼越秀双剑 (暮云) , RH_Sword_042, RH_Sword_042,
遥空 (待秋风) , LH_shield_005, RH_pike_005,
机徵枪 (放心) (放心·一) , RH_spear_061b, RH_spear_061b,
玄铁双剑·荡旋 (穷追) , RH_Sword_006, RH_Sword_006,
王醉风云·高峰枪 (山河君·一) (山河君) , RH_spear_086b, RH_spear_086b,
伽蓝雨 , Lh_stick_001, RH_flagon_010,
蝶魂破茧 (落花流水) , D011002, D011002,
动莹 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
覆雨翻云·巨野双剑 (宝剑化碧) (宝剑化碧·一) , RH_sword_258, RH_sword_258,
古朴的六龙剑 (笑驱锋芒) , RH_sword_171b, RH_sword_171b,
遏云 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
玉鼎 (一点千古意) , Lh_stick_008, RH_flagon_001,
知音觅兮·天涯 (等闲幽梦) , RH_brush_087, RH_brush_087,
赤浪卷阵 (今何往) , RH_Spear_007, RH_Spear_007,
黯魂消 (绝塞银蛇) (绝塞银蛇·一) (绝塞银蛇·四) , RH_knife_046b, RH_knife_046b,
静峰 (万卷龙滔) , RH_sword_171, RH_sword_171,
摧落弩 (淇水殇) , RH_bow_096, RH_bow_096,
化境剑 (梨花脸) , D001002b, D001002b,
光明僧棍 (赤水) , RH_wand_006, RH_wand_006,
天地困人·战舞西月 (楚流) , LH_shield_077, RH_pike_077,
谪仙棒 (贫楼星眸) , Lh_stick_004, RH_flagon_030,
青铜根 (碧千帆) , LH_shield_003, RH_pike_003,
焚尘 (云归) , D011009d, D011009d,
我武惟扬·英达弩 (尽东园) (尽东园·一) , RH_bow_038b, RH_bow_038b,
驭神刀 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
亦空 (善思) , RH_wand_030, RH_wand_030,
斩影 (独守) , D007055, D007055,
素月琴 (斫良木) , LH_piano_004, RH_blade_004,
抱盈 (待秋风) , LH_shield_005, RH_pike_005,
畅梦观云·鸣玉剑 (羹鲈江上) (羹鲈江上·一) , RH_sword_164b, RH_sword_164b,
山川泪笔 (拨云看泉) , RH_brush_122, RH_brush_122,
绮光重剑 (天青日藏) , D007340, D007340,
映雪衔霜 (寒宇) , RH_sword_316, RH_sword_316,
霜远红 (定山河) , LH_BDdagger_002, RH_BDknife_002,
邃初巫笛 (天风) (天风·一) , D011038, D011038,
玉关情梦剑 (飞渡几字) , RH_sword_103, RH_sword_103,
皂金透甲枪 (星情) , RH_spear_036, RH_spear_036,
寻踪觅宝·结云剑 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
冥报 (一身闲) , Lh_stick_030, RH_flagon_066,
含光 (华阙) , D007040, D007040,
剑挽狂澜·幻空 (限光) , RH_sword_286, RH_sword_286,
逸霄听雨·志行杖 (倾海流涎) (倾海流涎·二) , RH_wand_100b, RH_wand_100b,
何尘羁 (梵音正法) , RH_wand_150, RH_wand_150,
覆雨翻云·灵威弩 (三十二相) (三十二相·一) , RH_bow_071, RH_bow_071,
浅辉 (残月经风) , RH_bow_064, RH_bow_064,
湛金古铩 (万年刹那) (万年刹那·一) , RH_spear_083b, RH_spear_083b,
随染 (柳风澜) (柳风澜·一) (柳风澜·二) , RH_knife_021, RH_knife_021,
壮志凌云·吻逐笛 (寄君) , D011005b, D011005b,
天光耀 (待秋风) , LH_shield_005, RH_pike_005,
水龙吟·惊龙 , RH_sword_320c, RH_sword_321c,
紫陌红尘 (相思不苦) (相思不苦·一) (相思不苦·四) , RH_sword_197b, RH_sword_197b,
昼雪笔 (抱翅) , RH_brush_140, RH_brush_140,
青铜枪·钩镰 (乱奇) , D010015, D010015,
山寿 (雪堂迁) , RH_knife_010, RH_knife_010,
金汐音 (今朝相伴) , D011001, D011001,
山河常在 (水汽冰镜) , LH_shield_004, RH_pike_004,
朝仪 (念临州) , RH_knife_018, RH_knife_018,
丙锐盾刀 (与谁同) , LH_shield_007, RH_pike_007,
煞心焚骨·旧游枪 (关山残月) (关山残月·一) , RH_spear_134b, RH_spear_134b,
冠世风流·薇漪笛 (清河影雾) (清河影雾·一) , D011085, D011085,
万人伤 (行藏) (行藏·一) (行藏·二) (行藏·三) , D007322, D007322,
密业寒林柱 (蓝碧人) , RH_wand_045, RH_wand_045,
吒炎红莲棍 (墨色染) , RH_wand_013, RH_wand_013,
风清 (危锋绝鄙) , RH_bow_040, RH_bow_040,
微明笛 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
烽火八方·柳壑笛 (清河影雾) (清河影雾·一) , D011085, D011085,
四面山 (暴云) , LH_shield_001, RH_pike_001,
乙心弯刀 (夜吹太酷) , RH_knife_012b, RH_knife_012b,
逸霄听雨·含衷琴 (千鹤响) , LH_piano_017, RH_blade_017,
玥珂 (先生莫猜) (先生莫猜·一) , RH_sword_165b, RH_sword_165b,
月鸣筝 (闻人泣) , LH_piano_026, RH_blade_006,
迎光 (刺疆) , RH_knife_075, RH_knife_075,
角狂棒 (颤缺) , Lh_stick_031, RH_flagon_067,
宿沙棒·黯 (炎池揽月) , Lh_stick_009, RH_flagon_043,
海山尘 (黄尘白骨) , RH_Sword_089c, RH_Sword_089c,
铁纹双剑 (星刺) , RH_Sword_005, RH_Sword_005,
月露白 (贪古调) , LH_piano_001, RH_blade_001,
灵峰璃 (白青雷) , RH_wand_051, RH_wand_051,
摩诃萨 (踏湖歌) , RH_wand_082, RH_wand_082,
倾瀚刀 (云燕成双) , San_002, San_002,
义薄云天·普度棍 (蓝碧人) , RH_wand_045, RH_wand_045,
冰释剑 (寸肠) , RH_sword_048, RH_sword_048,
万里寒刀 (伤人欲) , RH_knife_017, RH_knife_017,
瀚海雄风·冲虚剑 (雨晴) , RH_Sword_087, RH_Sword_087,
嗜阳 (魂邈) , RH_Sword_015, RH_Sword_015,
旋影白纱琴 (突然多梦) , LH_piano_023, RH_blade_003,
延陵 (刺锋) , San_028, San_028,
庚湍笔 (等闲幽梦) , RH_brush_087, RH_brush_087,
战无不胜·蜀鼎剑 (逆涛青鸾) , RH_Sword_089b, RH_Sword_089b,
破穹 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
严恐 (难凭浮世) , RH_knife_016, RH_knife_016,
峻鸿枪 (明珠苍壁) (明珠苍壁·一) , RH_spear_094b, RH_spear_094b,
水心清 (金鱼夫婿) , RH_sword_053, RH_sword_053,
羽翮 (载地) , LH_shield_002, RH_pike_002,
PVP测试装备 (弗如敌) , D010024, D010024,
逐流重剑 (贯川流) (贯川流·一) (贯川流·四) , D007318b, D007318b,
剑胆琴心·绚练重剑 (存思) (存思·一) , D007297, D007297,
晓夕轻烟 (幽树夜花) , RH_sword_343, RH_sword_343,
桀骜不驯·聚萤琴 (夜阑晓) (夜阑晓·一) , LH_piano_071, RH_blade_001,
癸川盾刀 (破宵盈空) , LH_shield_065, RH_pike_066,
沧波渔网架·刀功 (网罗天下) , San_046, San_046,
酎菊 (山中云深) , RH_brush_121, RH_brush_121,
独步天下·弈业笔 (逆天) , RH_brush_095, RH_brush_095,
寐露 (刺疆) , RH_knife_075, RH_knife_075,
博文约礼·兰柯笛 (僧渡) , D011003, D011003,
伏鹰枪 (侠客行) , D010125, D010125,
太康棍 (青士) , RH_wand_002, RH_wand_002,
逶蛇透地 (贯川流·二) (贯川流·三) (贯川流·五) , D007318, D007318,
雪渊龙吟·沃彬笛 (向善) (向善·一) , D011058, D011058,
寻踪觅宝·雨过青山 (绿寂调) , RH_knife_037b, RH_knife_037b,
碧落妖刀 (绿寂调) , RH_knife_037b, RH_knife_037b,
渊澄刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
捍魔城主节杖 (天亦忘) (天亦忘·一) , RH_wand_098b, RH_wand_098b,
高辛白云 (人间事) , RH_brush_026, RH_brush_026,
太望流霜琴 (风归水) , LH_piano_032, RH_blade_018,
终年 (刺锋) , San_028, San_028,
寻踪觅宝·赤心 (对君欢) , RH_sword_225, RH_sword_225,
碎屏沉星 , RH_bow_068, RH_bow_068, , T_唐门95级橙武_惊羽
博文约礼·烨光剑 (争狂) , RH_Sword_027, RH_Sword_027,
中流蛟 (无争) , D010087, D010087,
天回 (零落) , RH_Sword_010, RH_Sword_010,
花庭琴 (道吾不还) , LH_piano_021, RH_blade_002,
永偃戎兵 (落魄无依) (落魄无依·一) (落魄无依·二) (落魄无依·三) , D011072, D011072,
秦王破阵枪 (乱奇) , D010015, D010015,
血战黄泉·尘沙枪 (此地曾别) (此地曾别·一) , RH_spear_093, RH_spear_093,
落花归人 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
青铜剑·松纹 (潘安) , RH_sword_003, RH_sword_003,
花语金蝉剑 (笑驱锋芒) , RH_sword_171b, RH_sword_171b,
寻踪觅宝·镜荷 (洛城飞声) , D011078, D011078,
醉晚 (千古澎湃) , LH_piano_042, RH_blade_017,
清波汇海·青霓重剑 (云海分楼) (云海分楼·一) , D007325, D007325,
纵横四海·朝夜笛 (孤月引仙) (孤月引仙·一) , D011106b, D011106b,
款曲 (定山河) , LH_BDdagger_002, RH_BDknife_002,
水善剑 (重试卷) , RH_sword_110, RH_sword_110,
