Name,Mesh1,Mesh2,Mesh3,Mesh4,sfx1,sfx2,ID
室图棍,(白璧青樱),,,RH_wand_102,RH_wand_102,,1209,
束手棍,(白璧青樱),,,RH_wand_102,RH_wand_102,,1209,
参云笔,(不知吾身),,,RH_brush_101,RH_brush_101,,1307,
千寻笔,(不知吾身),,,RH_brush_101,RH_brush_101,,1307,
西亭枪,(太平相公),,,RH_spear_088,RH_spear_088,,1407,
萧然枪,(太平相公),,,RH_spear_088,RH_spear_088,,1407,
寻道剑,(平落清溪),,,RH_sword_169,RH_sword_169,,868,
梦觉剑,(平落清溪),,,RH_sword_169,RH_sword_169,,868,
河狸双剑,(解荒风),,,RH_sword_170,RH_sword_170,,930,
烟花双剑,(解荒风),,,RH_sword_170,RH_sword_170,,930,
别离笛,(涤粹),,,D011060,D011060,,768,
雪风笛,(涤粹),,,D011060,D011060,,768,
何必匣,(危锋绝鄙),,,RH_bow_040,RH_bow_040,,1040,
可见匣,(危锋绝鄙),,,RH_bow_040,RH_bow_040,,1040,
姑苏轻剑,(万卷龙滔),,,RH_sword_171,RH_sword_171,,871,
姑苏重剑,(临流),,,D007302,D007302,,652,
古酿棒,(风吹新荷),,,Lh_stick_002,RH_flagon_017,,1516,
方唐刀,(洞箍),,,RH_knife_037,RH_knife_037,,1141,
日暮刀,(洞箍),,,RH_knife_037,RH_knife_037,,1141,
百年成妄,(筝不归),,,LH_shield_015,RH_pike_015,,1715,
映汀烟,(筝不归),,,LH_shield_015,RH_pike_015,,1715,
汹浪盾刀,(载地),,,LH_shield_002,RH_pike_002,,1702,
陈曲盾刀,(碧千帆),,,LH_shield_003,RH_pike_003,,1703,
礼良琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
故生琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
寻踪觅宝·结佛,(高楼冥想),,,RH_wand_120,RH_wand_120,,1237,
寻踪觅宝·弥莲,(高楼冥想),,,RH_wand_120,RH_wand_120,,1237,
寻踪觅宝·明露,(问棋语),,,RH_brush_119,RH_brush_119,,1336,
寻踪觅宝·霜泉,(问棋语),,,RH_brush_119,RH_brush_119,,1336,
寻踪觅宝·善将,(再碎铁衣),,,RH_spear_107,RH_spear_107,,1437,
寻踪觅宝·厉师,(再碎铁衣),,,RH_spear_107,RH_spear_107,,1437,
寻踪觅宝·照月,(往昔流年),,,RH_sword_224,RH_sword_224,,1624,
寻踪觅宝·经辰,(往昔流年),,,RH_sword_224,RH_sword_224,,1624,
寻踪觅宝·牵情,(默默相随),,,RH_sword_223,RH_sword_223,,962,
寻踪觅宝·映心,(默默相随),,,RH_sword_223,RH_sword_223,,962,
寻踪觅宝·含莲,(洛城飞声),,,D011078,D011078,,797,
寻踪觅宝·兰蕙,(洛城飞声),,,D011078,D011078,,797,
寻踪觅宝·飒影,(彩云无间),,,RH_bow_058,RH_bow_058,,1071,
寻踪觅宝·破风,(彩云无间),,,RH_bow_058,RH_bow_058,,1071,
寻踪觅宝·留侯,(对君欢),,,RH_sword_225,RH_sword_225,,1626,
寻踪觅宝·项楚,(清秋风冷),,,D007333,D007333,,686,
寻踪觅宝·逍游,(醉后双影),,,Lh_stick_014,RH_flagon_050,,1558,
寻踪觅宝·劫海,(流火观),,,RH_knife_058,RH_knife_058,,1172,
寻踪觅宝·焦星,(流火观),,,RH_knife_058,RH_knife_058,,1172,
寻踪觅宝·令威,(独领残兵),,,LH_shield_037,RH_pike_050,,1745,
寻踪觅宝·谨胜,(独领残兵),,,LH_shield_037,RH_pike_050,,1745,
寻踪觅宝·君礼,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
寻踪觅宝·夏华,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
和融棍,(离娄匹夫),,,RH_wand_099,RH_wand_099,,1205,
和乐棍,(离娄匹夫),,,RH_wand_099,RH_wand_099,,1205,
和敬笔,(莫弹冠),,,RH_brush_098,RH_brush_098,,1303,
和贤笔,(莫弹冠),,,RH_brush_098,RH_brush_098,,1303,
和武枪,(手栽青山),,,RH_spear_085,RH_spear_085,,1403,
和侯枪,(手栽青山),,,RH_spear_085,RH_spear_085,,1403,
和硕剑,(君来对语),,,RH_sword_160,RH_sword_160,,860,
和知剑,(君来对语),,,RH_sword_160,RH_sword_160,,860,
和宁对剑,(千金苦思),,,RH_sword_161,RH_sword_161,,925,
和殷对剑,(千金苦思),,,RH_sword_161,RH_sword_161,,925,
和祥笛,(独善其身),,,D011057,D011057,,764,
和意笛,(独善其身),,,D011057,D011057,,764,
和侠弩,(浆纱笼烛),,,RH_bow_037,RH_bow_037,,1037,
和愿弩,(浆纱笼烛),,,RH_bow_037,RH_bow_037,,1037,
和德轻剑,(画舫天影),,,RH_sword_162,RH_sword_162,,861,
和伦重剑,(要离),,,D007304,D007304,,655,
和睿棒,(鱼龙飞上),,,Lh_stick_006,RH_flagon_031,,1530,
和恭双刃,(揽中州),,,RH_knife_034,RH_knife_034,,1137,
和荣双刃,(揽中州),,,RH_knife_034,RH_knife_034,,1137,
和伤盾刀,(独领残兵),,,LH_shield_037,RH_pike_050,,1745,
和谢盾刀,(独领残兵),,,LH_shield_037,RH_pike_050,,1745,
和儒琴,(闻人泣),,,LH_piano_026,RH_blade_006,,1826,
和崇琴,(闻人泣),,,LH_piano_026,RH_blade_006,,1826,
破木琴,(斫良木),,,LH_piano_004,RH_blade_004,,1804,
沙门棍,(慈悲言说),,,RH_wand_126,RH_wand_126,,1242,
罪心棍,(慈悲言说),,,RH_wand_126,RH_wand_126,,1242,
万物生元,(沧海倒江潮),,,RH_brush_125,RH_brush_125,,1341,
心之和,(沧海倒江潮),,,RH_brush_125,RH_brush_125,,1341,
归海枪,(金河倾),,,RH_spear_113,RH_spear_113,,1443,
励义枪,(金河倾),,,RH_spear_113,RH_spear_113,,1443,
生形剑,(大道寂寥),,,RH_sword_242,RH_sword_242,,1636,
无全剑,(大道寂寥),,,RH_sword_242,RH_sword_242,,1636,
九奏八阕,(香尘春溪),,,RH_sword_243,RH_sword_243,,966,
云陛八音,(香尘春溪),,,RH_sword_243,RH_sword_243,,966,
花萼振,(一支孤瑞),,,D011084,D011084,,1902,
变藻,(一支孤瑞),,,D011084,D011084,,1902,
红叶闲,(残月经风),,,RH_bow_064,RH_bow_064,,1076,
静东风,(残月经风),,,RH_bow_064,RH_bow_064,,1076,
吹尘轻剑,(迟梦归),,,RH_sword_241,RH_sword_241,,1635,
王佐重剑,(天青日藏),,,D007340,D007340,,691,
武义,(二十三棍),,,Lh_stick_020,RH_flagon_056,,1563,
浮日月,(乱心月刃),,,RH_knife_064,RH_knife_064,,1177,
齐日月,(乱心月刃),,,RH_knife_064,RH_knife_064,,1177,
胜疏,(池浅速谋),,,LH_shield_055,RH_pike_056,,1750,
刚柔之合,(池浅速谋),,,LH_shield_055,RH_pike_056,,1750,
君宜正,(双人调琴),,,LH_piano_043,RH_blade_018,,1843,
咏雅,(双人调琴),,,LH_piano_043,RH_blade_018,,1843,
闻善恶,(慈悲言说),,,RH_wand_126,RH_wand_126,,1242,
奉法禅杖,(慈悲言说),,,RH_wand_126,RH_wand_126,,1242,
询言,(沧海倒江潮),,,RH_brush_125,RH_brush_125,,1341,
哲圣义,(沧海倒江潮),,,RH_brush_125,RH_brush_125,,1341,
为君,(金河倾),,,RH_spear_113,RH_spear_113,,1443,
安天下,(金河倾),,,RH_spear_113,RH_spear_113,,1443,
不塞剑,(大道寂寥),,,RH_sword_242,RH_sword_242,,1636,
不惑剑,(大道寂寥),,,RH_sword_242,RH_sword_242,,1636,
隐秀,(香尘春溪),,,RH_sword_243,RH_sword_243,,966,
纤手逸烟,(香尘春溪),,,RH_sword_243,RH_sword_243,,966,
神女织仙,(一支孤瑞),,,D011084,D011084,,1902,
红紫耀朱蓝,(一支孤瑞),,,D011084,D011084,,1902,
晓梦惊心,(残月经风),,,RH_bow_064,RH_bow_064,,1076,
明月幽篁弩,(残月经风),,,RH_bow_064,RH_bow_064,,1076,
龙麟瑞,(迟梦归),,,RH_sword_241,RH_sword_241,,1635,
凤栖梧,(天青日藏),,,D007340,D007340,,691,
乾坤颠,(二十三棍),,,Lh_stick_020,RH_flagon_056,,1563,
慈恩,(乱心月刃),,,RH_knife_064,RH_knife_064,,1177,
搅海,(乱心月刃),,,RH_knife_064,RH_knife_064,,1177,
三势向敌,(池浅速谋),,,LH_shield_055,RH_pike_056,,1750,
殷心,(池浅速谋),,,LH_shield_055,RH_pike_056,,1750,
水之精,(双人调琴),,,LH_piano_043,RH_blade_018,,1843,
方江济阔,(双人调琴),,,LH_piano_043,RH_blade_018,,1843,
莲华·缘,,,RH_wand_129,RH_wand_129,,,S_少林95橙武防御_01,1244,
墨颠,,,RH_brush_128,RH_brush_128,,,W_万花95级橙武攻击01,1344,
兰亭香雪,,,RH_brush_127,RH_brush_127,,,W_万花95级橙武治疗01,1343,
紫龙寂地,,,RH_spear_115,RH_spear_115,,,T_天策95橙武攻击_01,1444,
吞虹,,,RH_spear_116,RH_spear_116,,,T_天策95橙武防御_01,1445,
渊微指玄,,,RH_sword_250,RH_sword_250,shell_250,,q_气纯橙武95,1639,
周流星位,,,RH_sword_249,RH_sword_249,shell_249,,j_剑纯橙武95,1640,
九天悬梦,,,RH_sword_251,RH_sword_252,,Q_七秀95级橙武伤害_01,Q_七秀95级橙武伤害_02,969,
寒声·寂影,,,RH_sword_253,RH_sword_254,,Q_七秀95级橙武治疗_01,Q_七秀95级橙武治疗_02,970,
绛玉拨云,,,D011087,D011087,,,W_五毒95级橙武攻击01,1905,
灵知,,,D011086,D011086,,,W_五毒95级橙武治疗01,1904,
造化异轨,,,RH_bow_069,RH_bow_069,,,T_唐门95级橙武_天罗,1079,
碎屏沉星,,,RH_bow_068,RH_bow_068,,,T_唐门95级橙武_惊羽,1078,
西天聆雪,,,RH_sword_248,RH_sword_248,,,C_藏剑95级橙武轻剑01,1641,
弱水,,,D007345,D007345,,,C_藏剑95级橙武重剑01,693,
涯风嘲雨,,,Lh_stick_022,RH_flagon_058,,G_丐帮95级橙武棍_01,G_丐帮95级橙罐_01,1565,
残月惊天,,,RH_knife_067,RH_knife_067b,,m_明教95攻击蓝,m_明教95攻击红,1180,
执手,,,RH_knife_066,RH_knife_066b,,m_明教95防御蓝,m_明教95防御黄,1179,
朱轩怀雀,,,LH_shield_058,RH_pike_059,,C_苍云95级橙武攻击盾_01,C_苍云95级橙武攻击刀_01,1753,
修罗鬼面,,,LH_shield_057,RH_pike_058,,C_苍云95级橙武防御盾_01,C_苍云95级橙武防御刀_01,1752,
盈缺,,,LH_piano_057,RH_blade_057,,C_长歌95级橙武琴伤害_01,C_长歌95级橙武剑伤害_01,1857,
青玉流,,,LH_piano_058,RH_blade_058,,C_长歌95级橙武琴治疗_01,C_长歌95级橙武剑治疗_01,1858,
浮心·劫,,,RH_wand_130,RH_wand_130,,,S_少林95橙武攻击_01,1245,
剑破九州·檀语禅杖,(枯九折),(枯九折·一),,,RH_wand_115,RH_wand_115,,1229,
剑破九州·净泽狼毫,(西游空山),(西游空山·一),,,RH_brush_114,RH_brush_114,,1328,
剑破九州·珊草羊毫,(西游空山),(西游空山·一),,,RH_brush_114,RH_brush_114,,1328,
剑破九州·拓沙战戟,(冥霜),(冥霜·一),,,RH_spear_102,RH_spear_102,,1429,
剑破九州·清嘉软剑,(幻望仙歌),(幻望仙歌·一),,,RH_sword_209,RH_sword_209,,1607,
剑破九州·素欲软剑,(幻望仙歌),(幻望仙歌·一),,,RH_sword_209,RH_sword_209,,1607,
剑破九州·碧螺双剑,(昨日烦忧),(昨日烦忧·一),,,RH_sword_208,RH_sword_208,,954,
剑破九州·冰轮双剑,(昨日烦忧),(昨日烦忧·一),,,RH_sword_208,RH_sword_208,,954,
剑破九州·瀛洲笛,(卷烟涛),(卷烟涛·一),,,D011073,D011073,,789,
剑破九州·黑云笛,(卷烟涛),(卷烟涛·一),,,D011073,D011073,,789,
剑破九州·朝暮弩,(千叶桃头),(千叶桃头·一),,,RH_bow_053,RH_bow_053,,1063,
剑破九州·蜀江弩,(千叶桃头),(千叶桃头·一),,,RH_bow_053,RH_bow_053,,1063,
剑破九州·霜天轻剑,(影乱指),(影乱指·一),,,RH_sword_210,RH_sword_210,,1612,
剑破九州·霜天重剑,(朝夕劫雷),(朝夕劫雷·一),,,D007324,D007324,,678,
剑破九州·九龙棒,(满宫竹青),(满宫竹青·一),,,Lh_stick_010,RH_flagon_045,,1548,
剑破九州·晗夜双刀,(金青明王),(金青明王·一),,,RH_knife_053,RH_knife_053,,1164,
剑破九州·垓下盾刀,(素娥冷),(素娥冷·一),,,LH_shield_018,RH_pike_018,,1718,
剑破九州·旧山琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
剑破九州·磨秋琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
菩提擀面杖·火候,(浓),,,RH_wand_047,RH_wand_047,,49,
菩提擀面杖·清蒸,(浓),,,RH_wand_047,RH_wand_047,,49,
翡翠玲珑筷·火候,(千里梦),,,RH_brush_050,RH_brush_050,,549,
翡翠玲珑筷·水煮,(千里梦),,,RH_brush_050,RH_brush_050,,549,
御赐大锅铲·刀功,(一诺千金),,,RH_spear_045,RH_spear_045,,156,
御赐大锅铲·生煎,(一诺千金),,,RH_spear_045,RH_spear_045,,156,
灵虚大菜刀·火候,(冷落),,,D007154,D007154,,265,
灵虚大菜刀·刀功,(冷落),,,D007154,D007154,,265,
霓裳玉女勺·火候,(遮断),,,RH_sword_040,RH_sword_040,,469,
霓裳玉女勺·水煮,(遮断),,,RH_sword_040,RH_sword_040,,469,
瑶星青玉葱·火候,(步云歌),,,D011047,D011047,,745,
瑶星青玉葱·水煮,(步云歌),,,D011047,D011047,,745,
蜀月竹筒饭·火候,(春水无情),,,RH_bow_028,RH_bow_028,,1022,
蜀月竹筒饭·刀功,(春水无情),,,RH_bow_028,RH_bow_028,,1022,
至尊剔骨刀·刀功,(冷落),,,D007154,D007154,,265,
至尊熏猪腿·刀功,(南柯梦),,,D007232,D007232,,621,
醉梦逍遥棒·刀功,(三十无求),,,Lh_stick_007,RH_flagon_013,,1544,
妙火天香串·火候,(高豪),,,RH_knife_032,RH_knife_032,,1134,
妙火天香串·清蒸,(高豪),,,RH_knife_032,RH_knife_032,,1134,
塞雪蒸鱼屉·刀功,(携鱼归),,,LH_shield_046,RH_pike_046,,1739,
塞雪蒸鱼屉·清蒸,(携鱼归),,,LH_shield_046,RH_pike_046,,1739,
古意调味匣·火候,(有知音耶),,,LH_piano_053,RH_blade_053,,1853,
古意调味匣·水煮,(有知音耶),,,LH_piano_053,RH_blade_053,,1853,
古意调味匣·星月万里,(有知音耶),,,LH_piano_053,RH_blade_053,,1853,
灵虚大菜刀·星月万里,(冷落),,,D007154,D007154,,265,
至尊剔骨刀·星月万里,(冷落),,,D007154,D007154,,265,
至尊熏猪腿·星月万里,(南柯梦),,,D007232,D007232,,621,
御赐大锅铲·星月万里,(一诺千金),,,RH_spear_045,RH_spear_045,,156,
翡翠玲珑筷·星月万里,(千里梦),,,RH_brush_050,RH_brush_050,,549,
霓裳玉女勺·星月万里,(遮断),,,RH_sword_040,RH_sword_040,,469,
瑶星青玉葱·星月万里,(步云歌),,,D011047,D011047,,745,
菩提擀面杖·星月万里,(浓),,,RH_wand_047,RH_wand_047,,49,
蜀月竹筒饭·星月万里,(春水无情),,,RH_bow_028,RH_bow_028,,1022,
妙火天香串·星月万里,(高豪),,,RH_knife_032,RH_knife_032,,1134,
醉梦逍遥棒·星月万里,(三十无求),,,Lh_stick_007,RH_flagon_013,,1544,
蒜香蒸鱼屉·星月万里,(携鱼归),,,LH_shield_046,RH_pike_046,,1739,
神欺棍,(白璧青樱),,,RH_wand_102,RH_wand_102,,1209,
刑章棍,(白璧青樱),,,RH_wand_102,RH_wand_102,,1209,
振衣笔,(不知吾身),,,RH_brush_101,RH_brush_101,,1307,
流灵笔,(不知吾身),,,RH_brush_101,RH_brush_101,,1307,
清神枪,(太平相公),,,RH_spear_088,RH_spear_088,,1407,
正秦枪,(太平相公),,,RH_spear_088,RH_spear_088,,1407,
鹤蛇剑,(平落清溪),,,RH_sword_169,RH_sword_169,,868,
龙盘剑,(平落清溪),,,RH_sword_169,RH_sword_169,,868,
鬼愁双剑,(解荒风),,,RH_sword_170,RH_sword_170,,930,
凤展双剑,(解荒风),,,RH_sword_170,RH_sword_170,,930,
濯津笛,(涤粹),,,D011060,D011060,,768,
役心笛,(涤粹),,,D011060,D011060,,768,
清管弩,(危锋绝鄙),,,RH_bow_040,RH_bow_040,,1040,
彗云弩,(危锋绝鄙),,,RH_bow_040,RH_bow_040,,1040,
赋雅轻剑,(万卷龙滔),,,RH_sword_171,RH_sword_171,,871,
妙鲛重剑,(临流),,,D007302,D007302,,652,
雁足棒,(风吹新荷),,,Lh_stick_002,RH_flagon_017,,1516,
光腾弯刀,(洞箍),,,RH_knife_037,RH_knife_037,,1141,
月扇弯刀,(洞箍),,,RH_knife_037,RH_knife_037,,1141,
玉塞飞,(载地),,,LH_shield_002,RH_pike_002,,1702,
昆仑变,(碧千帆),,,LH_shield_003,RH_pike_003,,1703,
沐皇琴,(风归水),,,LH_piano_032,RH_blade_018,,1832,
萃瑶琴,(风归水),,,LH_piano_032,RH_blade_018,,1832,
华莲隐月,(白璧青樱),,,RH_wand_102,RH_wand_102,,1209,
云阴罗刹,(白璧青樱),,,RH_wand_102,RH_wand_102,,1209,
长竹飞叶,(不知吾身),,,RH_brush_101,RH_brush_101,,1307,
丹阳紫羽,(不知吾身),,,RH_brush_101,RH_brush_101,,1307,
破影,(太平相公),,,RH_spear_088,RH_spear_088,,1407,
斗穹,(太平相公),,,RH_spear_088,RH_spear_088,,1407,
紫泉忘尘,(平落清溪),,,RH_sword_169,RH_sword_169,,868,
寒影梅云,(平落清溪),,,RH_sword_169,RH_sword_169,,868,
凌潭,(解荒风),,,RH_sword_170,RH_sword_170,,930,
冰阙,(解荒风),,,RH_sword_170,RH_sword_170,,930,
蚀玥,(涤粹),,,D011060,D011060,,768,
幽徵,(涤粹),,,D011060,D011060,,768,
宇驰虹,(危锋绝鄙),,,RH_bow_040,RH_bow_040,,1040,
星离月,(危锋绝鄙),,,RH_bow_040,RH_bow_040,,1040,
翔鸾剑,(万卷龙滔),,,RH_sword_171,RH_sword_171,,871,
赤麟剑,(临流),,,D007302,D007302,,652,
微明,(风吹新荷),,,Lh_stick_002,RH_flagon_017,,1516,
冥霜紫月,(洞箍),,,RH_knife_037,RH_knife_037,,1141,
焰色凌日,(洞箍),,,RH_knife_037,RH_knife_037,,1141,
绝霆,(载地),,,LH_shield_002,RH_pike_002,,1702,
断青,(碧千帆),,,LH_shield_003,RH_pike_003,,1703,
秋月泠音琴,(风归水),,,LH_piano_032,RH_blade_018,,1832,
太望流霜琴,(风归水),,,LH_piano_032,RH_blade_018,,1832,
霸刀攻击测试,(定山河),,,LH_BDdagger_002,RH_BDknife_002,,LH_BDshell_002,BDshelf_002,,2002,
霸刀防御测试,(定山河),,,LH_BDdagger_002,RH_BDknife_002,,LH_BDshell_002,BDshelf_002,,2002,
僧归棍,(日初),,,RH_wand_091,RH_wand_091,,94,
三世棍,(日初),,,RH_wand_091,RH_wand_091,,94,
江离笔,(月临关),,,RH_brush_092,RH_brush_092,,593,
代序笔,(月临关),,,RH_brush_092,RH_brush_092,,593,
夜紫枪,(千里危国),,,RH_spear_078,RH_spear_078,,191,
寒鼓枪,(千里危国),,,RH_spear_078,RH_spear_078,,191,
妙玄剑,(追情梦),,,RH_sword_139,RH_sword_139,,837,
浊清剑,(追情梦),,,RH_sword_139,RH_sword_139,,837,
戏蝶双剑,(念念观楼),,,RH_sword_140,RH_sword_140,,912,
竹静双剑,(念念观楼),,,RH_sword_140,RH_sword_140,,912,
林花笛,(吹愁),,,D011051,D011051,,751,
汀沙笛,(吹愁),,,D011051,D011051,,751,
天水弩,(梦难成),,,RH_bow_030,RH_bow_030,,1025,
镜华弩,(梦难成),,,RH_bow_030,RH_bow_030,,1025,
万金轻剑,(腐草萤火),,,RH_sword_141,RH_sword_141,,838,
山河重剑,(毁信),,,D007292,D007292,,641,
茅飞棒,(擦肩影),,,Lh_stick_006,RH_flagon_038,,1547,
风定弯刀,(天下之枯荣),,,RH_knife_043,RH_knife_043,,1161,
万凝弯刀,(天下之枯荣),,,RH_knife_043,RH_knife_043,,1161,
凤阙龙行,(孤屿),,,LH_shield_006,RH_pike_006,,1701,
暗凋旗画,(孤屿),,,LH_shield_006,RH_pike_006,,1701,
瑶象琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
玉鸾琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
无明尽棍,(日初),,,RH_wand_091,RH_wand_091,,94,
慧义棍,(日初),,,RH_wand_091,RH_wand_091,,94,
灵修笔,(月临关),,,RH_brush_092,RH_brush_092,,593,
坠露笔,(月临关),,,RH_brush_092,RH_brush_092,,593,
南行枪,(千里危国),,,RH_spear_078,RH_spear_078,,191,
以归枪,(千里危国),,,RH_spear_078,RH_spear_078,,191,
涉川剑,(追情梦),,,RH_sword_139,RH_sword_139,,837,
致虚剑,(追情梦),,,RH_sword_139,RH_sword_139,,837,
桑海双剑,(念念观楼),,,RH_sword_140,RH_sword_140,,912,
落花风双剑,(念念观楼),,,RH_sword_140,RH_sword_140,,912,
孤月笛,(吹愁),,,D011051,D011051,,751,
逐华笛,(吹愁),,,D011051,D011051,,751,
楚山弩,(梦难成),,,RH_bow_030,RH_bow_030,,1025,
雪马弩,(梦难成),,,RH_bow_030,RH_bow_030,,1025,
独明轻剑,(腐草萤火),,,RH_sword_141,RH_sword_141,,838,
晓花重剑,(毁信),,,D007292,D007292,,641,
松间棒,(擦肩影),,,Lh_stick_006,RH_flagon_038,,1547,
胡雁弯刀,(天下之枯荣),,,RH_knife_043,RH_knife_043,,1161,
候骑弯刀,(天下之枯荣),,,RH_knife_043,RH_knife_043,,1161,
雪满弓刀,(孤屿),,,LH_shield_006,RH_pike_006,,1701,
快走清秋,(孤屿),,,LH_shield_006,RH_pike_006,,1701,
四极琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
未央琴,(书味满堂),,,LH_piano_024,RH_blade_004,,1824,
何昔棍,(大圣乐土),,,RH_wand_137,RH_wand_137,,1246,
天清棍,(大圣乐土),,,RH_wand_137,RH_wand_137,,1246,
陶斯笔,(今时日文),,,RH_brush_135,RH_brush_135,,1345,
绿水笔,(今时日文),,,RH_brush_135,RH_brush_135,,1345,
藏仙枪,(百年涂炭),,,RH_spear_123,RH_spear_123,,1446,
高族枪,(百年涂炭),,,RH_spear_123,RH_spear_123,,1446,
嗟月剑,(断源心体),,,RH_sword_274,RH_sword_274,,1642,
飞岫剑,(断源心体),,,RH_sword_274,RH_sword_274,,1642,
玄灵双剑,(芙蓉动),,,RH_sword_273,RH_sword_273,,971,
落月双剑,(芙蓉动),,,RH_sword_273,RH_sword_273,,971,
霓裳微笛,(唱彻金河),,,D011094,D011094,,1906,
别鹤笛,(唱彻金河),,,D011094,D011094,,1906,
鸣磬弩,(沧波瑟惧),,,RH_bow_076,RH_bow_076,,1080,
游悦弩,(沧波瑟惧),,,RH_bow_076,RH_bow_076,,1080,
金轩轻剑,(鸿毛影),,,RH_sword_275,RH_sword_275,,1647,
芳宵重剑,(泰岳峰),,,D007375,D007375,,694,
星霄棒,(一身闲),,,Lh_stick_030,RH_flagon_066,,1566,
郁浮弯刀,(三昧逝),,,RH_knife_074,RH_knife_074,,1181,
春阳弯刀,(三昧逝),,,RH_knife_074,RH_knife_074,,1181,
丰草盾刀,(诸侯征勋),,,LH_shield_066,RH_pike_067,,1754,
朱阙盾刀,(诸侯征勋),,,LH_shield_066,RH_pike_067,,1754,
森山琴,(贯日金声),,,LH_piano_067,RH_blade_001,,1866,
钟歌琴,(贯日金声),,,LH_piano_067,RH_blade_001,,1866,
采珠刀,(化龙川),,,LH_BDdagger_015,RH_BDknife_015,,LH_BDshell_015,BDshelf_015,,2010,
文韬武略·棠棣棍,(阿难法轮),,,RH_wand_133,RH_wand_133,,1250,
文韬武略·林崇笔,(阿房一炬),,,RH_brush_131,RH_brush_131,,1349,
文韬武略·凉季笔,(阿房一炬),,,RH_brush_131,RH_brush_131,,1349,
文韬武略·霄翰枪,(寸心丹),,,RH_spear_119,RH_spear_119,,1450,
文韬武略·周行剑,(真灵阳神),,,RH_sword_262,RH_sword_262,,1646,
文韬武略·德音剑,(真灵阳神),,,RH_sword_262,RH_sword_262,,1646,
文韬武略·友朋双剑,(广寒金风),,,RH_sword_261,RH_sword_261,,975,
文韬武略·河清双剑,(广寒金风),,,RH_sword_261,RH_sword_261,,975,
文韬武略·繁音笛,(烛生无香),,,D011090,D011090,,1910,
文韬武略·光天笛,(烛生无香),,,D011090,D011090,,1910,
文韬武略·於穆弩,(刺谗走壑),,,RH_bow_072,RH_bow_072,,1084,
文韬武略·幽旨弩,(刺谗走壑),,,RH_bow_072,RH_bow_072,,1084,
文韬武略·新邦轻剑,(长生明水),,,RH_sword_263,RH_sword_263,,1651,
文韬武略·新邦重剑,(烈日冰息),,,D007371,D007371,,698,
文韬武略·五穷棒,(幻迷识癫),,,Lh_stick_026,RH_flagon_062,,1570,
文韬武略·弗愁刀,(恒河焚我),,,RH_knife_070,RH_knife_070,,1185,
文韬武略·若人盾刀,(三尺山河),,,LH_shield_062,RH_pike_063,,1758,
文韬武略·四表琴,(铭光分彗),,,LH_piano_063,RH_blade_001,,1870,
文韬武略·正历琴,(铭光分彗),,,LH_piano_063,RH_blade_001,,1870,
文韬武略·金城刀,(挑灯羁危),,,LH_BDdagger_019,RH_BDknife_019,,LH_BDshell_019,BDshelf_019,,2012,
沧海奔流·黄落棍,(诸佛摩诃),(诸佛摩诃·一),,,RH_wand_132,RH_wand_132,,1249,
沧海奔流·俭静笔,(青蛇碧风),(青蛇碧风·一),,,RH_brush_130,RH_brush_130,,1348,
沧海奔流·兴颠笔,(青蛇碧风),(青蛇碧风·一),,,RH_brush_130,RH_brush_130,,1348,
沧海奔流·维光枪,(耀连城),(耀连城·一),,,RH_spear_118,RH_spear_118,,1449,
沧海奔流·山则剑,(道冥一),(道冥一·一),,,RH_sword_259,RH_sword_259,,1645,
沧海奔流·萝施剑,(道冥一),(道冥一·一),,,RH_sword_259,RH_sword_259,,1645,
沧海奔流·晔紫双剑,(宝剑化碧),(宝剑化碧·一),,,RH_sword_258,RH_sword_258,,974,
沧海奔流·殚河双剑,(宝剑化碧),(宝剑化碧·一),,,RH_sword_258,RH_sword_258,,974,
沧海奔流·露时笛,(拔邪羽蛇),(拔邪羽蛇·一),,,D011089,D011089,,1909,
沧海奔流·黑章笛,(拔邪羽蛇),(拔邪羽蛇·一),,,D011089,D011089,,1909,
沧海奔流·罗袂弩,(三十二相),(三十二相·一),,,RH_bow_071,RH_bow_071,,1083,
沧海奔流·西极弩,(三十二相),(三十二相·一),,,RH_bow_071,RH_bow_071,,1083,
沧海奔流·横四海轻剑,(折剑刺蛟),(折剑刺蛟·一),,,RH_sword_260,RH_sword_260,,1650,
沧海奔流·横四海重剑,(侠骨斩鲸),(侠骨斩鲸·一),,,D007347,D007347,,697,
沧海奔流·乘玄棒,(穷通知命),(穷通知命·一),,,Lh_stick_024,RH_flagon_060,,1569,
沧海奔流·鸿明弯刀,(世尊无上劫),(世尊无上劫·一),,,RH_knife_069,RH_knife_069,,1184,
沧海奔流·宫雉盾刀,(碧月昆吾),(碧月昆吾·一),,,LH_shield_060,RH_pike_061,,1757,
沧海奔流·连枝琴,(非魔柔音),(非魔柔音·一),,,LH_piano_061,RH_blade_060,,1869,
